Jul 1991,395.40
Aug 1991,387.90
Sep 1991,392.50
Oct 1991,375.20
Nov 1991,417.10
Dec 1991,408.80
Jan 1992,412.70
Feb 1992,403.70
Mar 1992,414.90
Apr 1992,415.40
May 1992,408.10
Jun 1992,424.20
Jul 1992,414.00
Aug 1992,417.80
Sep 1992,418.70
Oct 1992,431.40
Nov 1992,435.70
Dec 1992,438.80
Jan 1993,443.40
Feb 1993,451.70
Mar 1993,440.20
Apr 1993,450.20
May 1993,450.50
Jun 1993,448.10
Jul 1993,463.60
Aug 1993,458.90
Sep 1993,467.80
Oct 1993,461.80
Nov 1993,466.40
Dec 1993,481.60
Jan 1994,467.10
Feb 1994,445.80
Mar 1994,450.90
Apr 1994,456.50
May 1994,444.30
Jun 1994,458.30
Jul 1994,475.50
Aug 1994,462.70
Sep 1994,472.40
Oct 1994,453.70
Nov 1994,459.30
Dec 1994,470.40
Jan 1995,487.40
Feb 1995,500.70
Mar 1995,514.70
Apr 1995,533.40
May 1995,544.80
Jun 1995,562.10
Jul 1995,561.90
Aug 1995,584.40
Sep 1995,581.50
Oct 1995,605.40
Nov 1995,615.90
Dec 1995,636.00
Jan 1996,640.40
Feb 1996,645.50
Mar 1996,654.20
Apr 1996,669.10
May 1996,670.60
Jun 1996,640.00
Jul 1996,652.00
Aug 1996,687.30
Sep 1996,705.30
Oct 1996,757.00
Nov 1996,740.70
Dec 1996,786.20
Jan 1997,790.80
Feb 1997,757.10
Mar 1997,801.30
Apr 1997,848.30
May 1997,885.10
Jun 1997,954.30
Jul 1997,899.50
Aug 1997,947.30
Sep 1997,914.60
Oct 1997,955.40
Nov 1997,970.40
Dec 1997,980.30
Jan 1998,1049.30
Feb 1998,1101.80
Mar 1998,1111.80
Apr 1998,1090.80
May 1998,1133.80
Jun 1998,1120.70
Jul 1998,957.30
Aug 1998,1017.00
Sep 1998,1098.70
Oct 1998,1163.60
Nov 1998,1229.20
Dec 1998,1279.60
Jan 1999,1238.30
Feb 1999,1286.40
Mar 1999,1335.20
Apr 1999,1301.80
May 1999,1372.70
Jun 1999,1328.70
Jul 1999,1320.40
Aug 1999,1282.70
Sep 1999,1362.90
Oct 1999,1388.90
Nov 1999,1469.20
Dec 1999,1394.50
Jan 2000,1366.40
Feb 2000,1498.60
Mar 2000,1452.40
Apr 2000,1420.60
May 2000,1454.60
Jun 2000,1430.80
Jul 2000,1517.70
Aug 2000,1436.50
Sep 2000,1429.40
Oct 2000,1315.00
Nov 2000,1320.30
Dec 2000,1366.00
Jan 2001,1239.90
Feb 2001,1160.30
Mar 2001,1249.50
Apr 2001,1255.80
May 2001,1224.40
Jun 2001,1211.20
Jul 2001,1133.60
Aug 2001,1040.90
Sep 2001,1059.80
Oct 2001,1139.50
Nov 2001,1148.10
Dec 2001,1130.20
Jan 2002,1106.70
Feb 2002,1147.40
Mar 2002,1076.90
Apr 2002,1067.10
May 2002,989.80
Jun 2002,911.60
Jul 2002,916.10
Aug 2002,815.30
Sep 2002,885.80
Oct 2002,936.30
Nov 2002,879.80
Dec 2002,855.70
Jan 2003,841.10
Feb 2003,848.20
Mar 2003,916.90
Apr 2003,963.60
May 2003,974.50
Jun 2003,990.30
Jul 2003,1008.00
Aug 2003,996.00
Sep 2003,1050.70
Oct 2003,1058.20
Nov 2003,1111.90
Dec 2003,1131.10
Jan 2004,1144.90
Feb 2004,1126.20
Mar 2004,1107.30
Apr 2004,1120.70
May 2004,1140.80
Jun 2004,1101.70
Jul 2004,1104.20
Aug 2004,1114.60
Sep 2004,1130.20
Oct 2004,1173.80
Nov 2004,1211.90
Dec 2004,1181.30
Jan 2005,1203.60
Feb 2005,1180.60
Mar 2005,1156.80
Apr 2005,1191.50
May 2005,1191.30
Jun 2005,1234.20
Jul 2005,1220.30
Aug 2005,1228.80
Sep 2005,1207.00
Oct 2005,1249.50
Nov 2005,1248.30
Dec 2005,1280.10
Jan 2006,1280.70
Feb 2006,1294.80
Mar 2006,1310.60
Apr 2006,1270.10
